2022-01-04 00:07:51 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 00:07:51 status installed libc-bin:amd64 2.31-0ubuntu9.2
2022-01-04 00:07:51 trigproc desktop-file-utils:amd64 0.24-1ubuntu3 <none>
2022-01-04 00:07:51 status half-configured desktop-file-utils:amd64 0.24-1ubuntu3
2022-01-04 00:07:51 status installed desktop-file-utils:amd64 0.24-1ubuntu3
2022-01-05 13:15:31 startup archives unpack
2022-01-05 13:15:31 install linux-modules-5.11.0-44-generic:amd64 <none> 5.11.0-44.48~20.04.2
2022-01-05 13:15:31 status half-installed linux-modules-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:33 status unpacked linux-modules-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:33 install linux-image-5.11.0-44-generic:amd64 <none> 5.11.0-44.48~20.04.2
2022-01-05 13:15:33 status half-installed linux-image-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:33 status unpacked linux-image-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:34 install linux-modules-extra-5.11.0-44-generic:amd64 <none> 5.11.0-44.48~20.04.2
2022-01-05 13:15:34 status half-installed linux-modules-extra-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:39 status unpacked linux-modules-extra-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:39 upgrade linux-generic-hwe-20.04:amd64 5.11.0.43.47~20.04.21 5.11.0.44.48~20.04.22
2022-01-05 13:15:39 status half-configured linux-generic-hwe-20.04:amd64 5.11.0.43.47~20.04.21
2022-01-05 13:15:39 status unpacked linux-generic-hwe-20.04:amd64 5.11.0.43.47~20.04.21
2022-01-05 13:15:39 status half-installed linux-generic-hwe-20.04:amd64 5.11.0.43.47~20.04.21
2022-01-05 13:15:39 status unpacked linux-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22
2022-01-05 13:15:39 upgrade linux-image-generic-hwe-20.04:amd64 5.11.0.43.47~20.04.21 5.11.0.44.48~20.04.22
2022-01-05 13:15:39 status half-configured linux-image-generic-hwe-20.04:amd64 5.11.0.43.47~20.04.21
2022-01-05 13:15:39 status unpacked linux-image-generic-hwe-20.04:amd64 5.11.0.43.47~20.04.21
2022-01-05 13:15:39 status half-installed linux-image-generic-hwe-20.04:amd64 5.11.0.43.47~20.04.21
2022-01-05 13:15:39 status unpacked linux-image-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22
2022-01-05 13:15:39 install linux-hwe-5.11-headers-5.11.0-44:all <none> 5.11.0-44.48~20.04.2
2022-01-05 13:15:39 status half-installed linux-hwe-5.11-headers-5.11.0-44:all 5.11.0-44.48~20.04.2
2022-01-05 13:15:43 status unpacked linux-hwe-5.11-headers-5.11.0-44:all 5.11.0-44.48~20.04.2
2022-01-05 13:15:43 install linux-headers-5.11.0-44-generic:amd64 <none> 5.11.0-44.48~20.04.2
2022-01-05 13:15:43 status half-installed linux-headers-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:45 status unpacked linux-headers-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:45 upgrade linux-headers-generic-hwe-20.04:amd64 5.11.0.43.47~20.04.21 5.11.0.44.48~20.04.22
2022-01-05 13:15:45 status half-configured linux-headers-generic-hwe-20.04:amd64 5.11.0.43.47~20.04.21
2022-01-05 13:15:45 status unpacked linux-headers-generic-hwe-20.04:amd64 5.11.0.43.47~20.04.21
2022-01-05 13:15:45 status half-installed linux-headers-generic-hwe-20.04:amd64 5.11.0.43.47~20.04.21
2022-01-05 13:15:45 status unpacked linux-headers-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22
2022-01-05 13:15:45 startup packages configure
2022-01-05 13:15:45 configure linux-hwe-5.11-headers-5.11.0-44:all 5.11.0-44.48~20.04.2 <none>
2022-01-05 13:15:45 status unpacked linux-hwe-5.11-headers-5.11.0-44:all 5.11.0-44.48~20.04.2
2022-01-05 13:15:45 status half-configured linux-hwe-5.11-headers-5.11.0-44:all 5.11.0-44.48~20.04.2
2022-01-05 13:15:45 status installed linux-hwe-5.11-headers-5.11.0-44:all 5.11.0-44.48~20.04.2
2022-01-05 13:15:45 configure linux-headers-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2 <none>
2022-01-05 13:15:45 status unpacked linux-headers-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:45 status half-configured linux-headers-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:45 status installed linux-headers-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:45 configure linux-headers-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22 <none>
2022-01-05 13:15:45 status unpacked linux-headers-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22
2022-01-05 13:15:45 status half-configured linux-headers-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22
2022-01-05 13:15:45 status installed linux-headers-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22
2022-01-05 13:15:45 configure linux-image-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2 <none>
2022-01-05 13:15:45 status unpacked linux-image-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:45 status half-configured linux-image-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:46 status installed linux-image-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:46 status triggers-pending linux-image-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:46 configure linux-modules-extra-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2 <none>
2022-01-05 13:15:46 status unpacked linux-modules-extra-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:46 status half-configured linux-modules-extra-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:47 status installed linux-modules-extra-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:47 configure linux-image-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22 <none>
2022-01-05 13:15:47 status unpacked linux-image-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22
2022-01-05 13:15:47 status half-configured linux-image-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22
2022-01-05 13:15:47 status installed linux-image-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22
2022-01-05 13:15:47 configure linux-modules-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2 <none>
2022-01-05 13:15:47 status unpacked linux-modules-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:47 status half-configured linux-modules-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:49 status installed linux-modules-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:15:49 configure linux-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22 <none>
2022-01-05 13:15:49 status unpacked linux-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22
2022-01-05 13:15:49 status half-configured linux-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22
2022-01-05 13:15:49 status installed linux-generic-hwe-20.04:amd64 5.11.0.44.48~20.04.22
2022-01-05 13:15:49 trigproc linux-image-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2 <none>
2022-01-05 13:15:49 status half-configured linux-image-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:16:04 status installed linux-image-5.11.0-44-generic:amd64 5.11.0-44.48~20.04.2
2022-01-05 13:16:08 startup archives unpack
